name,ra,dec,field,z
"MCXCJ0056.9-2740",14.233116065687177,-27.682627426572402,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.231056078739812,-27.676864230801193,"SPLUS-s22s10",0.56
"A0122",14.355369693127894,-26.273370216427473,"SPLUS-s21s10",0.1135
"A0122",14.349635991253953,-26.279300955033985,"SPLUS-s21s10",0.1135
"A0122",14.344357777024157,-26.279843369687566,"SPLUS-s21s10",0.1135
"A0122",14.352725378254842,-26.279536755868023,"SPLUS-s21s10",0.1135
"A0122",14.34589041543133,-26.282889359048532,"SPLUS-s21s10",0.1135
"A0122",14.355045042835549,-26.274287654605775,"SPLUS-s21s10",0.1135
"A0122",14.35881629129824,-26.28177393822926,"SPLUS-s21s10",0.1135
"A0122",14.361355213731564,-26.283601707857954,"SPLUS-s21s10",0.1135
"A0122",14.357990489743617,-26.286154119489684,"SPLUS-s21s10",0.1135
"A0122",14.346174731994859,-26.28038242876233,"SPLUS-s21s10",0.1135
"A0122",14.354794162772635,-26.28058149741624,"SPLUS-s21s10",0.1135
"A0122",14.345349121021526,-26.28137541548579,"SPLUS-s21s10",0.1135
"ACTCLJ0059-0049",14.78386233582197,-0.8392169757533962,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.786566952601753,-0.8366004806536185,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.788095401136069,-0.8367261208860987,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.785312801717216,-0.8349189985017058,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.77890733234849,-0.8344740474900268,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.788532928779277,-0.8335764644078907,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.79045449033821,-0.8333261645784146,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.783729390726762,-0.8430705990000482,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.781248359518102,-0.8310742908945202,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.791175340886264,-0.8305751625851309,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.783050928788388,-0.8301778714610306,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.784689889034636,-0.8298125443779201,"STRIPE82-0021",0.786
"ACTCLJ0059-0049",14.787835109436747,-0.8273622394683965,"STRIPE82-0021",0.786
"WHLJ010455.4+000336",16.2277351912173,0.05229393851210449,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.227992374532754,0.058585957450124126,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.22766094062698,0.05998358779124981,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.227107842043814,0.06073277370148573,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.225974525034346,0.05688549249476181,"STRIPE82-0024",0.2767
"WHLJ010455.4+000336",16.225026303437367,0.06199022264075081,"STRIPE82-0024",0.2767
