name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
A1069,23,0.065,1.369006,0.06524620052261307,63.1819873806295,0.060202849261306535,13.425912840331224,-0.0050433512613065334,0.06502890698492463,40.58105870188776,0.059747407386934674,19.140962837173657,-0.005281499597989951,0.010963094988357217,0.011283896423075342,0.010838755069315142,0.011237804518241513,-0.011341680353415085,-0.004084750790478031,0.01089074768902508,0.011291457518567024,-0.006599167425710555,0.0006700784204487787
MKW8,24,0.027,1.08744,0.027972151035175877,118.64835004785311,0.02894626232160804,31.55797687163422,0.0009741112864321624,0.027879650301507537,95.30851786811768,0.02894626232160804,36.72521629081896,0.0010666120201005026,0.00846938265287012,0.008469587124203266,0.008049854200432095,0.008115573772711299,-0.04953471458700175,-0.041798182874855275,0.008015030937870305,0.008087252944017296,-0.05364637939057381,-0.045142009236009396
A3733,25,0.03898,1.213196,0.03933098492462312,12.5080012089949,0.03861952674874372,5.784394837386886,-0.0007114581758793995,0.03892071859296482,15.790932500964612,0.03813383101005025,8.942932301664122,-0.0007868875829145708,0.006831144534107259,0.0062168178644882175,0.006652447569232121,0.006059936609268498,-0.02615915444079992,-0.025234976902871596,0.0066376922424317576,0.00604797410514662,-0.028319162434583642,-0.02715919350091771
A2440,26,0.0906,1.579778,0.09134650442211055,16.594921398149385,0.11054394160804021,3.9605063338162556,0.01919743718592966,0.09072078271356784,14.490922360034826,0.11241831095477386,6.853933428962421,0.02169752824120602,0.01761781970352815,0.01749198329792179,0.015567240735514104,0.01635204316247363,-0.11639232337037683,-0.06516929018469836,0.016962393159011133,0.0177935606157677,-0.037202477692841844,0.017240887594589704
A1644,27,0.0473,1.608435,0.04590030653266332,71.1053071622889,0.04625177032160804,23.572471732395595,0.0003514637889447253,0.04606449748743719,65.54754264134559,0.04567541916582915,28.277558516218487,-0.00038907832160803985,0.008412903082468217,0.008705845920139479,0.008441907308683971,0.008749126844828689,0.0034475882975754197,0.004971478370538048,0.00839785016097368,0.008674304738751953,-0.0017892660056795047,-0.003622988699416439
MCXCJ0229.3-3332,28,0.076514,1.341868,0.07866984924623116,16.527499577959958,0.07502666763819096,5.645508555599357,-0.003643181608040197,0.07397035175879398,15.576577917234824,0.07366485354773869,8.110614742152977,-0.00030549821105528563,0.007090441218859851,0.008007129494292626,0.009051009210383418,0.00977116081453008,0.2765086023573055,0.22030757982555815,0.007204748668130339,0.008107050943457685,0.0161213450252492,0.012479059972276121
ESO351-021,35,0.056897,0.762836,0.05721356783919598,6.689574904181712,0.05441862341708543,0.9324320846043402,-0.0027949444221105554,0.05704092462311558,2.231434508419833,0.0545635348241206,1.9100505734797355,-0.002477389798994978,0.005957362079830412,0.0055135384441929525,0.005459418618068693,0.005865518295597297,-0.08358455556152697,0.0638391941884547,0.005446508103791949,0.005758692350920501,-0.08575170842276646,0.04446398791065892
MKW4,36,0.02,1.118862,0.020523037567839197,113.94790503825298,0.025264997949748746,19.027249141310417,0.004741960381909549,0.02034552261306533,45.04452113728702,0.0260054356080402,21.815873939841566,0.0056599129949748694,0.01042600725737178,0.010444870473868306,0.007646249675102509,0.008346664009281657,-0.2666176527264379,-0.20088391424633611,0.0073441026751629584,0.008199373552914073,-0.2955977783374109,-0.21498561677448955
A168,37,0.044841,1.081385,0.044932504432160805,91.8998444583395,0.04666567052763819,18.56345121902178,0.0017331660954773842,0.04504177889447236,66.53472905637902,0.046935593462311555,21.003187139635592,0.001893814567839193,0.009264290727451552,0.009675982895283116,0.009013152514082396,0.009631539534668991,-0.02710819648880333,-0.00459316237896521,0.009006424976423602,0.009643197348722944,-0.02783437595107552,-0.0033883427570086952
MS0116.3-0115,38,0.0452,0.91694,0.045571228613065326,34.70295287653576,0.047125830326633165,7.760763234064638,0.0015546017135678394,0.04593810851758794,22.969451227919524,0.04794636283417086,10.104449767800684,0.0020082543165829136,0.008598101759770754,0.009362272299932285,0.008614646832729713,0.009760275275736249,0.0019242704286627263,0.04251136508888361,0.008672156253778629,0.009919423407766106,0.008612888760443038,0.059510243879346496
WHLJ012023-000444,39,0.078,0.746549,0.07731189025125629,43.20858236800887,0.07858291427135677,2.805103993447125,0.0012710240201004863,0.07746159175879397,13.184251222537535,0.08116890603015076,4.17335266023477,0.0037073142713567875,0.012541147728380522,0.013160746019836592,0.012594311716529727,0.01329253063246537,0.0042391644928075674,0.010013460667818204,0.013046462910295346,0.013871036871372748,0.0402925787064369,0.053970409463534014
