name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi,ra,dec
[YMV2007]4713,69,0.052923,0.208371,0.0527685728643216,10.825935523647743,0.0553870369346733,0.6282378254728371,0.0026184640703517,0.0528062462311557,4.172288351128029,0.0543930879648241,0.9150884128154664,0.0015868417336683,0.0082654064898991,0.0085624517810343,0.0081563330077284,0.009046184687476,-0.0131963845098185,0.056494672181767,0.0080990390975862,0.0087658749324167,-0.020128156130763,0.0237575821253727,0,0
A993,92,0.0533,0.793204,0.0542521909547738,12.533948348737034,0.0532968953969849,2.4889520567941275,-0.0009552955577889,0.0536048341708542,4.814069306708726,0.0533826242914572,3.557301477953786,-0.0002222098793969,0.0071787812290806,0.0090524459827711,0.0071916765851173,0.0091891526889012,0.0017963155061013,0.0151016318009847,0.0071704327793479,0.009075458479195,-0.0011629341341188,0.0025421302118488,0,0
A978,58,0.053614,1.061279,0.0533749095477386,2.933946607548936,0.0553146346733668,1.1165074534249773,0.0019397251256281,0.0534281306532663,5.244170455854349,0.0551806973668341,3.1856975922809063,0.0017525667135678,0.0066971234625634,0.0095772789964893,0.0070303089777796,0.0101190684473166,0.0497505409716103,0.0565702900610868,0.0069753799815507,0.0100517609725041,0.0415486619804311,0.0495424615059016,0,0
MKW6,94,0.05367,1.112772,0.0542168743718592,35.99775529276079,0.0573678571356783,6.830971604464817,0.0031509827638191,0.0542465778894472,23.438591115407817,0.0572020293668341,7.623940874367793,0.0029554514773869,0.0080617722964994,0.0084182649753023,0.008139967401854,0.0088027305195799,0.0096994931732957,0.0456704018471232,0.0080995413439402,0.0087463894777141,0.0046849558697162,0.0389776876083728,0,0
A151,18,0.053922,1.442827,0.0524351256281407,5.207370442264376,0.0516275233165829,1.1464503307781146,-0.0008076023115577,0.0526073668341708,4.773778215816567,0.0420190738190954,2.801320133346904,-0.0105882930150753,0.0113563887754812,0.0123656590452937,0.0111993907511275,0.0124178281729752,-0.0138246433313973,0.0042188715935315,0.0136418597314744,0.0165354678329642,0.2012497987852956,0.3372087789576818,0,0
MCXCJ1020.4-0631,90,0.054,1.061084,0.0533749095477386,2.933946607548936,0.0553146346733668,1.116507453424977,0.0019397251256281,0.0534030753768844,5.130259383215616,0.0550743484221105,3.270293861192698,0.0016712730452261,0.0066971234625634,0.0094403369948641,0.0070303089777796,0.0100858449729515,0.0497505409716103,0.0683776414378703,0.0069529554920482,0.0099765331802785,0.0382002856771053,0.0567984157457711,0,0
[YMV2007]49,66,0.054757,0.563587,0.054431864321608,12.56107934323886,0.055929650201005,2.6573138098782048,0.0014977858793969,0.0545601909547738,9.561579970786202,0.0560956821005025,3.706836747130862,0.0015354911457286,0.004587326820683,0.0071698124547325,0.0046721312891439,0.0074265273564965,0.0184866855525784,0.0358049674778591,0.0046804353009039,0.0074367690655599,0.0202968926916355,0.0372334161476182,0,0
[YMV2007]514,57,0.056118,0.348393,0.0560100251256281,15.493869954101491,0.0563009973467336,2.152366350183661,0.0002909722211055,0.0558091608040201,8.420356341064016,0.0560590698693467,2.467557945640801,0.0002499090653266,0.0060729553341789,0.0059643819033145,0.0060632849695906,0.0059570370792649,-0.0015923655051138,-0.0012314476451479,0.0060638045104292,0.0059572129075766,-0.001506815585841,-0.0012019679246076,0,0
MCXCJ0346.1-5702,88,0.057,0.905458,0.0582674020100502,5.057528342620107,0.0584376995728643,1.3142165918726358,0.000170297562814,0.0584780653266331,4.196623470302542,0.0593687881407035,4.0866618660491305,0.0008907228140703,0.0056705351618711,0.0059799761718345,0.0057011763372281,0.0059862620208829,0.0054035773489305,0.0010511495142743,0.005883804827457,0.0060659074827143,0.0376101478075412,0.0143698416867555,0,0
A2415,21,0.058133,1.38364,0.0572699899497487,23.235885141135867,0.0586018847437185,8.222684586955689,0.0013318947939698,0.0573400502512562,25.11522462969316,0.0586018847437185,10.309570664609916,0.0012618344924623,0.0092169416255135,0.0095063162296078,0.0093565992132806,0.0096641393368876,0.0151522699656197,0.0166019206039323,0.0093445758690075,0.0096513229757269,0.0138477868993683,0.0152537263243441,0,0
