name ra dec z
A3341 81.38667 -31.59556 0.0379
WHYJ052551+014423 81.46265 1.73982 0.2053
A3343 81.46500 -47.25056 0.1913
SPTCLJ0528-5300 82.01250 -52.99583 0.7648
RXCJ0528.2-2942 82.06416 -29.71583 0.1582
MCXCJ0528.9-3927 82.22100 -39.47098 0.2630
A543 82.66000 -22.44833 0.0850
PSZ2G286.62-31.24 82.88160 -75.18050 0.2100
A545 83.09625 -11.53056 0.1540
RXCJ0532.9-3701 83.23333 -37.02611 0.2747
SPTCLJ0534-5005 83.39792 -50.09195 0.8810
SCSOJ0534-5435 83.70000 -54.59278 0.6500
SPTCLJ0535-4801 83.94640 -48.02290 0.9000
A3358 84.56792 -20.62306 0.0915
SPTCLJ0538-5605 84.61680 -56.13127 0.3933
AS540 85.02782 -40.83657 0.0360
CLJ0542.8-4100 85.71167 -41.00139 0.6400
PSZ2G241.11-28.68 85.73782 -35.98423 0.4200
ZGXJ054322-355601 85.84217 -35.93373 0.5758
A548B 86.36333 -25.93889 0.0424
SPTCLJ0546-5345 86.65400 -53.76100 1.1600
MACSJ0547.0-3904 86.75667 -39.07444 0.2100
A3364 86.90917 -31.87528 0.1483
A548E 87.16500 -25.45833 0.0395
RXCJ0548.8-2154 87.21000 -21.91194 0.0928
SPTCLJ0549-6204 87.32600 -62.08300 0.3200
SPTCLJ0552-5709 87.90208 -57.15611 0.4230
A550 88.21833 -21.05694 0.0990
PSZ2G239.27-26.01 88.34847 -33.70192 0.4300
SPTCLJ0555-6405 88.85083 -64.09889 0.4200
AS555 89.30500 -37.46611 0.0440
PSZ1G127.02+26.21 89.84666 86.22861 0.6300
ACTJ0559-5249 89.93000 -52.82417 0.6104
PSZ2G225.93-19.99 90.05200 -20.11900 0.4600
A3376 90.54907 -39.95732 0.0470
PSZ2G170.22+09.74 90.83944 42.23229 0.2280
A3378 91.47000 -35.30056 0.1410
SPTCLJ0607-4448 91.89840 -44.80330 1.4300
XCLASS1297 91.90000 -61.92800 0.3300
WHYJ060809-615348 92.03896 -61.89671 0.2424
SPTCLJ0615-5746 93.95708 -57.77806 0.9720
CIZAJ0616.3-2156 94.08208 -21.94833 0.1710
NGC2207 94.09179 -21.37267 0.0091
AS579 94.13083 -39.80028 0.1520
ACTCLJ0616-5227 94.15000 -52.45972 0.7100
RXCJ0616.8-4748 94.22333 -47.80500 0.1164
MCXCJ0621.7-5242 95.43167 -52.70306 0.0510
PSZ1G139.61+24.20 95.45375 74.70139 0.2671
WHYJ062211+781831 95.54668 78.30874 0.1363
A3390 96.15292 -37.33583 0.0333
A3391 96.59500 -53.69556 0.0514
A3395SW 96.70000 -54.54528 0.0510
